Country,S&P Rating,Country Name,country_code,unemployment_2000,unemployment_2014,unemployment_2015,unemployment_2016,unemployment_2017,unemployment_2018,unemployment_2019,unemployment_2020,unemployment_2021,unemployment_2022,unemployment_2023,current_account_balance_1990,current_account_balance_2000,current_account_balance_2014,current_account_balance_2015,current_account_balance_2016,current_account_balance_2017,current_account_balance_2018,current_account_balance_2019,current_account_balance_2020,current_account_balance_2021,current_account_balance_2022,current_account_balance_2023,exchange_rate_usd_1990,exchange_rate_usd_2000,exchange_rate_usd_2014,exchange_rate_usd_2015,exchange_rate_usd_2016,exchange_rate_usd_2017,exchange_rate_usd_2018,exchange_rate_usd_2019,exchange_rate_usd_2020,exchange_rate_usd_2021,exchange_rate_usd_2022,exchange_rate_usd_2023,gdp_1990,gdp_2000,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,gdp_2022,gdp_2023,inflation_1990,inflation_2000,inflation_2014,inflation_2015,inflation_2016,inflation_2017,inflation_2018,inflation_2019,inflation_2020,inflation_2021,inflation_2022,inflation_2023,total_reserves_1990,total_reserves_2000,total_reserves_2014,total_reserves_2015,total_reserves_2016,total_reserves_2017,total_reserves_2018,total_reserves_2019,total_reserves_2020,total_reserves_2021,total_reserves_2022,total_reserves_2023,Unnamed: 73,value_counts
Botswana,BBB+,Botswana,BWA,15.88,18.518,18.939,19.343,19.678,19.679,20.094,21.017,23.106,23.615,23.381,-0.509050220366834,9.4180495224013,11.0750306448499,2.22618287554396,7.97299722000005,5.58580913830414,0.392946349031096,-6.90505478190798,-10.1670468011302,-1.67769059498,-1.1422212637765,-0.601807749300507,1.86046583333333,5.10224166666667,8.97608333333333,10.1289916666667,10.9011583333333,10.3474166666667,10.199975,10.7558666666667,11.4562416666667,11.0872583333333,12.3688083333333,13.5963833333333,3790636324.44775,5788329609.15755,15470088500.7414,13530748844.505,15082637184.0496,16105155856.7708,17031943186.1353,16725908148.5481,14960291105.9316,18750946600.1423,20321958850.0363,19396084498.0084,11.3963461199556,8.60148514851491,4.40225309243427,3.06203169580558,2.81495791361944,3.30828076768219,3.23801558947715,2.77286442863321,1.8903591682421,7.24097765588442,11.665567478802,5.0676154934383,3331456029.64818,6318214000.31791,8322771529.48769,7546144960.24368,7188821774.82296,7490512373.36878,6656913637.84624,6170221067.31238,4940893802.78156,4801608912.27109,4278950590.03447,4755831848.94263,2377915960.971315,73.0
Andorra,A- ,Andorra,AND,9.640537234042553,9.136085106382978,9.052058510638298,8.903803191489363,8.664478723404255,8.383856382978724,8.24477659574468,9.305228723404252,9.015765957446808,8.230759525263965,7.967091058135851,15166521.337713469,30178282.315407977,43069975.5199744,57426633.40487423,71436513.14834772,85311683.58230376,99530297.98826244,18.0104704758856,15.5264308539605,14.0596948386118,17.2512710338157,15.759826082047724,14.268381130279746,12.776936178511768,11.28549122674379,9.794046274975813,8.302601323207835,6.811156371439857,5.319711419671879,3.8282664679039016,2.336821516135924,0.845376564367945,0.950915533962108,0.924709622987356,1028989692.06787,1432606188.69324,3271685596.66321,2789881258.50362,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,3324647529.381,3380612573.32922,3785067331.7625,3639487819.810096,3493908307.857692,3348328795.905288,3202749283.9528847,3057169772.0004807,2911590260.0480766,2766010748.0956726,2620431236.143269,2474851724.190865,2329272212.238461,2183692700.286057,2038113188.3336537,1892533676.38125,1746954164.428846,1601374652.4764423,1455795140.5240383,1310215628.5716343,1164636116.6192307,1019056604.6668268,873477092.7144232,727897580.7620192,582318068.8096151,436738556.8572116,291159044.9048076,145579532.95240355,21.0
Croatia,A- ,Croatia,HRV,16.064,17.29,16.175,13.103,11.208,8.432,6.617,7.507,7.608,6.96,6.063,2.267885790587065,-1.52722841882587,0.393612117446996,2.81569132776121,2.46258877507005,4.05033996072394,1.21879362311209,2.63940414879378,-0.79471642197724,0.807872377612066,-3.68078262891498,0.753574362369111,4.51562038951789,8.27766641666667,5.74816541666667,6.85830375,6.80599016666667,6.623831,6.27902525,6.62254516666667,6.6140555,6.36008316666667,7.1597415,12825106643.418922,25650213279.6781,22134411297.473,59612144078.4133,51005200669.6941,52654855638.1057,56186190437.9959,61668130122.5878,61467582193.6824,57963370885.0798,69006802298.6956,71198635101.9514,84393795502.4421,500.000000000001,4.61131554737801,-0.215196159576268,-0.464499004644911,-1.12500000000002,1.12937210282347,1.50012501041756,0.771820346498019,0.154811374562106,2.55450699642041,10.7805806758686,7.9412817758683,1762175050.028431,3524350092.11558,15423620715.6123,14966894623.4156,14244345198.2049,18818215998.8714,19991304927.8836,20770636599.6909,23253815166.0319,28308830585.9313,29726299387.3297,3176284868.24805,1588142468.624025,69.0
Cyprus,A-,Cyprus,CYP,4.766,16.277,15.026,13.006,11.155,8.504,7.155,7.755,7.513,6.807,5.964,-2.76044154525839,-4.88747484293358,-4.12447191175529,-0.419454379453416,-4.1033093861252,-4.94377305101382,-3.78880089784106,-5.51407754942518,-9.87243936639395,-5.96522285523851,-7.61042661270431,-11.4669307026441,0.458079916666667,0.622409116666667,508284565.8085219,1016569130.9946347,1524853696.1807475,2033138261.3668604,2541422826.5529733,3049707391.739086,3557991956.925199,4066276522.111312,4574561087.297424,5082845652.483537,5591130217.66965,9985847313.85485,23225918259.9824,19909278416.8575,21046462280.5979,22946570628.7576,25754001367.5448,26196667099.5303,25555093854.2968,30372874319.6285,30976176886.8521,33886930712.3394,4.50205462895843,4.14165764702061,-1.35498885446315,-2.0969976905311,-1.42916666666665,0.531766496174467,1.43549119531759,0.250370996758493,-0.638422797978959,2.44608867175474,8.39548297993334,3.54134188751663,1683639390.03571,1868515473.45376,893890213.595586,807868870.831618,812488586.049062,887692448.704109,924201541.467494,1033463563.89138,1237326347.35603,1611044560.40988,1670555054.09173,1789231286.1808,894615674.5904,63.0
Thailand,BBB+,Thailand,THA,2.389,0.576,0.597,0.688,0.83,0.766,0.716,1.099,1.215,0.94,0.913,-8.53154931493565,7.36845240260665,2.8582840987004,6.91581517168622,10.5083543932086,9.63103019182142,5.61986314598972,7.03272640328298,4.18282861454669,-2.11799444006618,-3.46252016627698,1.43923468240463,25.585462419191,40.1118033333333,32.4798333333333,34.2477166666667,35.2963833333333,33.9398110566858,32.3102257431458,31.0476057805499,31.2936732130832,31.9770934417717,35.0613502144776,34.8021885808364,85343190719.0107,126392224253.794,407339040197.651,401296238228.084,413366349747.508,456356813536.764,506754208404.485,543976691793.886,500461898480.246,506256494297.34,495645210972.751,514968699239.005,5.86399474375828,1.59196917460972,1.8951418189878,-0.900424963291569,0.188149704448234,0.665631893135106,1.06389754183015,0.706728601314311,-0.845937147357041,1.23039541318384,6.07741228434321,1.22802623546169,14258318641.9314,32665494240.0387,157162740027.006,156459956382.606,171772074486.519,202538295197.399,205640628937.522,224355506654.641,258104429788.605,246025242648.57,216500525687.125,224470464418.923,112235232245.9615,73.0
Italy,BBB,Italy,ITA,10.834,12.683,11.896,11.688,11.211,10.61,9.952,9.164,9.497,8.069,7.618,-1.38838935215218,-0.270230356072508,1.70979552518119,1.23326652485505,2.46140246001819,2.47968309636806,2.57144669559437,3.23388196417885,3.9369545603398,2.36551166160116,-1.5588851197709,-0.0107548120555719,1198.10166666667,98662095339.80235,197324189481.50305,295986283623.2038,394648377764.9045,493310471906.6052,591972566048.3059,690634660190.0066,789296754331.7073,887958848473.408,986620942615.1086,1085283036756.8092,1183945130898.51,1149661363439.38,2173255507985.84,1845428048839.1,1887111188176.93,1970720904584.71,2099435266458.67,2019606796583.53,1907481094079.23,2179207773596.09,2102995942720.44,2300941152991.81,6.456609061464,2.53768532095002,0.241047429826756,0.0387903996579733,-0.09401665691575,1.22653316645812,1.13748763600391,0.611246943765304,-0.13770757391651,1.87378325762481,8.20128991161718,5.62219442195901,88595441116.0035,47201146787.795,142756493254.503,130592432979.515,135133283786.776,151120440050.073,152361936421.553,175397954131.108,210687330553.17,227478327159.257,224580577612.139,247396384253.983,123698192157.9915,62.0
Bulgaria,BBB ,Bulgaria,BGR,16.218,11.424,9.143,7.575,6.164,5.212,4.23,5.125,5.267,4.268,4.295,-8.28805964230479,-5.31244317187738,2.18953559128089,0.0183814862482981,3.10025600360375,3.23867502289839,0.572868008529003,1.65493433053486,0.362007221946166,-1.03358348191171,-2.60246666143146,0.90586003354001,1.514567516770005,2.123275,1.47418333333333,1.7644,1.76804166666667,1.73545833333333,1.65704166666667,1.74704166666667,1.71633333333333,1.653775,1.86014166666667,1.80896666666667,20632090909.0909,13245990274.4581,57157782909.9307,50811995688.6771,53964253211.84,59309748166.1179,66289266348.6504,68631726289.2794,70716821234.5967,84417951260.8091,90642851835.8996,102407653020.606,23.8000000000003,10.316262128999,-1.4181838026484,-0.104633261008385,-0.79864988645371,2.06159619443141,2.81454473824829,3.10372944796781,1.67244096855756,3.29774435299515,15.3252589264366,9.44284140088564,1753599450.3136556,3507198891.18447,20129698078.3467,22153050488.9052,25176065815.9197,28375830876.2926,28711039864.6649,27901750798.6159,37860001348.6185,39187742752.2235,40989114449.5133,46333887862.1794,23166943966.5897,71.0
Philippines,BBB+ ,Philippines,PHL,3.77,3.6,3.068,2.695,2.552,2.338,2.237,2.522,3.398,2.598,2.233,-5.33575810861436,-2.66284885676653,3.61563913350118,2.37094985952193,-0.376262661570348,-0.652387929430577,-2.55939306315271,-0.808557862517338,3.20065009232564,-1.50797765976295,-4.51605763317135,-2.70318530243024,24.3105,44.19225,44.3951543042097,45.5028399421431,47.4924638585099,50.4037197937177,52.6614299539683,51.7957826517332,49.6240960026328,49.2545977288412,54.477785837205,55.630363223193,50508286641.5746,83669788254.7279,297483555344.802,306445871246.718,318627003012.52,328480736798.792,346841896583.515,376823402244.928,361751145451.597,394087359848.11,404353369604.631,437146372729.942,12.1773522064946,3.9771250324928,3.59782343864211,0.674192536845408,1.25369880080982,2.85318772590947,5.30934661627707,2.39206534422404,2.3931623931624,3.92718022100332,5.82115811213955,5.97802515541409,2036231453.24437,15074070180.8192,79629428309.078,80640411491.447,80666223156.9831,81413504334.4498,79195598849.54,89515298355.7402,109990274218.874,108754857244.204,96040188240.9305,103742233308.668,51871116690.834,73.0
Uruguay,BBB+,Uruguay,URY,12.627,6.547,7.488,7.841,7.89,8.336,8.734,10.33,9.301,7.877,8.354,1.99907346180948,-2.48133850696421,-2.98942522248202,-0.255015059040964,0.825062136386404,0.0113261681498872,-0.460578522523158,1.29326535028897,-0.727725470261437,-2.46165158976317,-3.7283299719738,-3.33883934943989,1.16948416666667,12.0995916666667,23.246025,27.3273666666667,30.1626,28.6764,30.7252583333333,35.255375,42.0132916666667,43.554575,41.1710833333333,38.8239166666667,9298807850.29979,22823270892.1094,61496186973.902,57680327998.6689,57480788390.2581,65006039994.56,65344576348.2279,62222325807.0578,53668636567.8667,60760798595.5436,70164683290.3776,77240830877.4597,112.525905573023,4.76382472733251,8.87735333229828,8.66626987079328,9.6394134763508,6.2180938256186,7.60653360377047,7.88198870879619,9.75640636078194,7.74791402314762,9.10437983075437,5.86910359896119,1445585539.04483,2775536525.06834,17554713318.1913,15633854333.4106,13471669447.4569,15959345500.7884,15556520867.2273,14504021740.9161,16250371651.3164,16962770286.5533,15126762057.5326,16256769466.6151,8128384769.80755,73.0
Indonesia,BBB,Indonesia,IDN,6.078,4.049,4.514,4.301,3.783,4.387,3.59,4.255,3.827,3.462,3.417,-2.81513051122,4.84306452849134,-3.08816907533729,-2.03504192738521,-1.81915089252068,-1.59465689988053,-2.93907291486926,-2.70566198130944,-0.418606247730959,0.295885914530007,1.00184767462664,-0.155931059139443,1842.81333333333,8421.775,11865.2112962963,13389.4129365079,13308.3268020542,13380.8338788891,14236.9387734818,14147.6713605454,14582.2034678177,14308.1439011897,14849.8539362105,15236.8846620506,106140727333.636,165021012077.81,890814755511.014,860854232717.718,931877364034.196,1015618744168.08,1042271532953.49,1119099871385.79,1059054842711.55,1186509691070.97,1319076267291.51,1371171152331.16,7.81919144730547,3.68861915958352,6.39492540819922,6.36312113115612,3.5258051568793,3.80879806953157,3.1983464156241,3.03058664969487,1.9209680056685,1.56012990525673,4.20946383402165,3.67013142377007,8656792855.20195,29352929561.4768,111862594561.997,105928847088.719,116369601851.059,130215330382.957,120660974090.95,129186464020.188,135915917616.263,144907809744.209,137222356128.227,146358992701.848,73179496387.424,73.0
Peru,BBB-,Peru,PER,4.965,3.208,3.272,3.741,3.691,3.492,3.379,7.179,5.097,3.85,4.82,-5.37288606183094,-2.9874113727773,-4.2824745585632,-4.60845775233446,-2.20406789294844,-0.857819433900692,-1.17201548545427,-0.623525259755891,0.938193609866992,-2.06503386846798,-3.95280419743711,0.829382658881826,0.187885579166667,3.49,2.83904413780664,3.18443924152237,3.37506158720665,3.2604884908321,3.28660269803296,3.3372655465368,3.4949411976912,3.88055413137587,3.83518137473542,3.74382620959376,26410386962.8019,51744749133.213,200786250582.943,189802976285.619,191898104390.379,211007984080.911,222597009739.235,228346006003.648,201409694755.934,226354278280.885,246488757636.211,267603248655.253,7481.66361124526,3.75733833344474,3.41194579807465,3.39809194746308,3.55717663556279,2.99490045809443,1.50915423024742,2.25212191358027,2.00241205759292,4.27166381536798,8.33370630096231,6.45561348369586,1890650000.0,8675891763.57695,62529703139.4597,61594854517.8208,61801163825.775,63819289822.9382,60333192028.0169,68440494635.2458,74961659711.1288,78589897922.7032,72328123071.4846,71394387239.6392,35697193656.8196,74.0
Hungary,BBB-,Hungary,HUN,6.563,7.725,6.813,5.115,4.156,3.709,3.419,4.25,4.045,3.609,4.126,1.10162640562658,-8.83884807792618,0.747980298522413,2.11974465500318,4.41513360524006,1.72222481371539,0.342221041090595,-0.61012681765295,-0.856486462034654,-3.87800347437411,-8.3205705337549,0.787522464190016,63.2058666666667,282.179166666667,232.601666666667,279.3325,281.523333333333,274.433333333333,270.211666666667,290.66,307.996666666667,303.140833333333,372.595833333333,353.088333333333,34365891768.6878,47218405892.4258,141033843265.669,125174166987.372,128609822750.039,143112196040.326,160565642983.587,164020460331.659,157288955508.176,182109999477.691,177006128624.627,212388906458.724,28.3695996532777,9.80361016908125,-0.227566270988219,-0.0616446800641672,0.394769306686392,2.34824281150154,2.85024792594646,3.33858635382008,3.32674385766738,5.11096534382855,14.6081439492433,17.1249659678737,1184510086.63983,11217315165.5179,42019881301.2031,33124288325.6273,25824253667.337,28002680652.4484,31366581856.0416,31831003374.707,41349416012.5512,43483375179.1178,41218685384.2451,45718623573.4135,22859311823.20675,73.0
