Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,El Salvador,SLV,..,3226290000,11486057983.75,12018755226.09,12595426766.26,13800632488.31,13586600000,14483300000,17540600000,19304700000,23595400000,34595400000
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Estonia,EST,..,251000000,2797700000,2707400000,3060100000,3199800000,3490100000,3893400000,6520900000,7447200000,9075200000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Eswatini,SWZ,..,..,6654131000,8162180000,11249700000,13018942000,16671200000,19885121516.1,26122100000,25387283318.11,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Ethiopia,ETH,12186200000,..,285754535948.33,362690988123.32,454837355801.34,551579021406.76,715770172246.28,846210210185.12,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
