Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Congo, Rep.",COG,10192493.1610329,225059391.973169,4926098059.12833,2221497219.19564,714352000.79598,379984138.830498,423617388.256644,988316008.036768,1140500574.79268,828560334.612028,835649476.998537,715391052.357981
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Costa Rica,CRI,524889929.252678,1318296304.08344,7211431939.58833,7833931554.67419,7573806767.99203,7149834513.74318,7500924411.18614,8937069411.20634,7231533677.41305,6921168830.74903,8554013584.20952,13225042447.0425
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Croatia,HRV,..,3524350092.11558,15423620715.6123,14966894623.4156,14244345198.2049,18818215998.8714,19991304927.8836,20770636599.6909,23253815166.0319,28308830585.9313,29726299387.3297,3176284868.24805
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Cyprus,CYP,1683639390.03571,1868515473.45376,893890213.595586,807868870.831618,812488586.049062,887692448.704109,924201541.467494,1033463563.89138,1237326347.35603,1611044560.40988,1670555054.09173,1789231286.1808
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Czechia,CZE,..,13141569747.934,54495067818.3817,64490290734.1553,85725304288.2449,147976372277.252,142511752519.564,149855634729.53,166125554207.071,173617578519.974,139981275466.87,148378918433.596
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Denmark,DNK,11225840672.0633,15695951232.7906,75391887669.079,65185093406.2789,64215805619.9462,75244445865.8039,70942078373.7473,66835547933.6664,72823350926.5649,82235844735.9223,96072552269.3927,109370841823.918
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Djibouti,DJI,93639294.2803231,67804571.8253999,393148391.657684,364857284.064063,407414266.733581,556097628.852465,454193909.718601,501857934.384136,686339280.94212,588417559.788355,589437241.827389,502033555.759362
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Dominica,DMA,14462984.5926221,29372786.7374406,101447737.686139,126225919.300594,221907763.515911,212292574.606832,191323608.30539,155172395.260191,165824163.308941,190843317.142588,204343039.949668,183530007.089389
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Dominican Republic,DOM,68530000,632133042.125822,4861785571.88809,5266043354.25313,6134227406.75062,6872905749.30285,7717561574.1843,8870942286.35982,10844812012.4981,13124643488.9252,14522975012.3239,15546714438.2444
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Ecuador,ECU,1009075807.30826,1178958455.54319,3941357097.57337,2487276599.56405,4215553160.05677,2169697856.6482,2158694032.4143,2939049266.08469,7136589071.47075,7912190379.51528,8459270681.86545,4441563798.69096
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Egypt, Arab Rep.",EGY,3619931742.61285,13785040867.624,14926998051.7397,15858887325.7756,23642691705.9678,36400242555.8255,41839242990.7097,44568837112.0669,38972812936.6708,39824388217.3615,32143926008.4607,33070180836.1374
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,El Salvador,SLV,595456226.572392,1901335075.18711,2693299223.48455,2786587496.10091,3238334348.81609,3567268275.79971,3568810597.97393,4445830632.52269,3082859548.1397,3426052270.22409,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Equatorial Guinea,GNQ,706734.793331144,23008388.6354032,2906843390.77255,1205154515.65311,62307444.1358487,45502925.1067975,48929813.6121629,40816834.5967151,60833004.0225614,44271185.5880532,1457611930.34543,1538461553.77119
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Eritrea,ERI,..,36131624.5351442,151753160.388458,145070693.229695,145371150.939987,143412422.685212,163033689.39269,191694416.403147,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Estonia,EST,..,922839655.58726,436832954.504529,414798362.438981,352140743.414626,345036507.941262,755005588.304243,1426439025.48627,1996892748.8784,2371477144.82894,2216592399.41163,2593038273.75936
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Eswatini,SWZ,216466813.105518,351794140.719257,690755431.118014,547997264.064542,564314115.627588,563119751.253451,440685903.013845,440314152.603377,545564174.123745,572281510.898637,452351748.185594,479261051.167947
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Ethiopia,ETH,55191078.3030544,362554236.557217,3525244981.05226,3835287576.46954,3030943950.63996,3045571314.79781,3987464165.90059,2992704274.84051,3046114358.80765,..,..,..
