Country Name,Value,quarter
United States,11.8281999339672,Q2-1997
United States,11.8281999339672,Q3-1997
United States,11.8281999339672,Q4-1997
United States,12.3298307799882,Q1-1998
United States,12.3298307799882,Q2-1998
United States,12.3298307799882,Q3-1998
United States,12.3298307799882,Q4-1998
United States,12.2599824818828,Q1-1999
United States,12.2599824818828,Q2-1999
United States,12.2599824818828,Q3-1999
United States,12.2599824818828,Q4-1999
United States,12.9707952978416,Q1-2000
United States,12.9707952978416,Q2-2000
United States,12.9707952978416,Q3-2000
United States,12.9707952978416,Q4-2000
United States,11.8577047719749,Q1-2001
United States,11.8577047719749,Q2-2001
United States,11.8577047719749,Q3-2001
United States,11.8577047719749,Q4-2001
United States,9.86801667620084,Q1-2002
United States,9.86801667620084,Q2-2002
United States,9.86801667620084,Q3-2002
United States,9.86801667620084,Q4-2002
United States,9.3906925792894,Q1-2003
United States,9.3906925792894,Q2-2003
United States,9.3906925792894,Q3-2003
United States,9.3906925792894,Q4-2003
United States,9.53747079117008,Q1-2004
United States,9.53747079117008,Q2-2004
United States,9.53747079117008,Q3-2004
United States,9.53747079117008,Q4-2004
United States,10.6817329318669,Q1-2005
United States,10.6817329318669,Q2-2005
United States,10.6817329318669,Q3-2005
United States,10.6817329318669,Q4-2005
United States,11.3104788990808,Q1-2006
United States,11.3104788990808,Q2-2006
United States,11.3104788990808,Q3-2006
United States,11.3104788990808,Q4-2006
United States,11.2899126640813,Q1-2007
United States,11.2899126640813,Q2-2007
United States,11.2899126640813,Q3-2007
United States,11.2899126640813,Q4-2007
United States,10.2761880916694,Q1-2008
United States,10.2761880916694,Q2-2008
United States,10.2761880916694,Q3-2008
United States,10.2761880916694,Q4-2008
United States,7.90351709244059,Q1-2009
United States,7.90351709244059,Q2-2009
United States,7.90351709244059,Q3-2009
United States,7.90351709244059,Q4-2009
United States,8.56322203026373,Q1-2010
United States,8.56322203026373,Q2-2010
United States,8.56322203026373,Q3-2010
United States,8.56322203026373,Q4-2010
United States,9.53892861749163,Q1-2011
United States,9.53892861749163,Q2-2011
United States,9.53892861749163,Q3-2011
United States,9.53892861749163,Q4-2011
United States,9.76391736911044,Q1-2012
United States,9.76391736911044,Q2-2012
United States,9.76391736911044,Q3-2012
United States,9.76391736911044,Q4-2012
United States,10.4602254541478,Q1-2013
United States,10.4602254541478,Q2-2013
United States,10.4602254541478,Q3-2013
United States,10.4602254541478,Q4-2013
United States,10.8997481732594,Q1-2014
United States,10.8997481732594,Q2-2014
United States,10.8997481732594,Q3-2014
United States,10.8997481732594,Q4-2014
United States,11.1828279598944,Q1-2015
United States,11.1828279598944,Q2-2015
United States,11.1828279598944,Q3-2015
United States,11.1828279598944,Q4-2015
United States,10.8545149876524,Q1-2016
United States,10.8545149876524,Q2-2016
United States,10.8545149876524,Q3-2016
United States,10.8545149876524,Q4-2016
United States,11.5038867327939,Q1-2017
United States,11.5038867327939,Q2-2017
United States,11.5038867327939,Q3-2017
United States,11.5038867327939,Q4-2017
United States,9.92953894064227,Q1-2018
