quarter,fed_fund_rate,unemployment_rate,producer_price,PCECTPI,gdp_percentage_change_prev_q
Q4-1989,8.61445652173913,5.366666666666667,112.83333333333331,57.959,3.7
Q1-1990,8.248000000000001,5.3,114.5,58.799,9.0
Q2-1990,8.239340659340659,5.333333333333333,114.33333333333331,59.333,6.1
Q3-1990,8.160217391304348,5.7,116.46666666666664,60.087,3.7
Q4-1990,7.743369565217392,6.133333333333333,119.86666666666667,60.882,-0.7
Q1-1991,6.430444444444444,6.6000000000000005,117.46666666666664,61.202,2.0
Q2-1991,5.864065934065934,6.833333333333333,116.3,61.536,6.2
Q3-1991,5.645217391304348,6.866666666666667,116.13333333333333,61.954,5.3
Q4-1991,4.818478260869566,7.1000000000000005,116.23333333333336,62.404,3.8
Q1-1992,4.024285714285714,7.366666666666667,115.9,62.795,6.4
Q2-1992,3.774065934065934,7.6,117.16666666666669,63.212,6.9
Q3-1992,3.259239130434783,7.633333333333333,117.86666666666667,63.615,6.1
Q4-1992,3.034891304347826,7.366666666666667,117.83333333333331,64.059,7.1
Q1-1993,3.0423333333333336,7.133333333333333,118.36666666666667,64.441,2.9
Q2-1993,2.9972527472527473,7.066666666666666,119.5,64.874,4.8
Q3-1993,3.057717391304348,6.8,118.86666666666667,65.155,4.4
Q4-1993,2.9882608695652175,6.633333333333333,118.9,65.531,7.9
Q1-1994,3.209333333333334,6.566666666666666,119.36666666666667,65.766,5.9
Q2-1994,3.938021978021978,6.2,120.03333333333336,66.133,7.6
Q3-1994,4.485434782608695,6.0,120.96666666666664,66.607,4.7
Q4-1994,5.167934782608696,5.633333333333333,121.43333333333334,66.92,7.0
Q1-1995,5.802777777777778,5.466666666666666,123.43333333333334,67.247,3.6
Q2-1995,6.019120879120879,5.666666666666667,124.93333333333334,67.639,3.2
Q3-1995,5.797173913043479,5.666666666666667,125.2,67.915,5.5
Q4-1995,5.719456521739131,5.566666666666666,125.46666666666664,68.214,4.7
Q1-1996,5.370989010989011,5.533333333333334,126.3,68.593,5.0
Q2-1996,5.243956043956044,5.5,127.83333333333331,69.052,8.6
Q3-1996,5.306195652173913,5.266666666666667,128.16666666666666,69.346,5.0
Q4-1996,5.280869565217392,5.333333333333333,128.4333333333333,69.819,6.5
Q1-1997,5.278444444444444,5.233333333333333,128.5,70.127,5.1
Q2-1997,5.522197802197802,5.0,127.2,70.303,7.7
Q3-1997,5.534673913043478,4.866666666666667,127.2,70.488,6.9
Q4-1997,5.507391304347826,4.666666666666667,127.5,70.71,4.8
Q1-1998,5.519333333333334,4.633333333333333,125.03333333333336,70.715,4.7
Q2-1998,5.497472527472527,4.3999999999999995,124.93333333333334,70.843,4.7
Q3-1998,5.531630434782609,4.533333333333333,124.3,71.062,6.9
Q4-1998,4.86054347826087,4.433333333333334,123.46666666666664,71.249,7.8
Q1-1999,4.734555555555556,4.3,122.6,71.39,5.2
Q2-1999,4.747692307692308,4.266666666666667,124.5,71.796,5.0
Q3-1999,5.09554347826087,4.233333333333333,126.86666666666667,72.191,6.9
Q4-1999,5.304021739130435,4.066666666666666,127.93333333333334,72.629,9.1
Q1-2000,5.677692307692308,4.033333333333333,129.63333333333335,73.219,4.2
Q2-2000,6.271978021978022,3.9333333333333336,132.03333333333333,73.568,10.2
Q3-2000,6.51945652173913,4.0,133.76666666666665,74.042,2.8
Q4-2000,6.4748913043478264,3.9,135.53333333333333,74.46,4.6
Q1-2001,5.597,4.233333333333333,137.76666666666668,75.012,1.3
Q2-2001,4.326703296703297,4.3999999999999995,136.23333333333335,75.363,5.0
Q3-2001,3.5015217391304345,4.833333333333333,133.36666666666667,75.401,0.0
Q4-2001,2.130434782608696,5.5,129.4,75.432,2.4
Q1-2002,1.732888888888889,5.7,128.9,75.584,4.7
Q2-2002,1.7515384615384617,5.833333333333333,130.83333333333334,76.145,3.9
Q3-2002,1.7408695652173911,5.733333333333333,131.66666666666666,76.539,3.6
Q4-2002,1.4442391304347826,5.866666666666667,133.06666666666666,76.896,2.8
Q1-2003,1.2496666666666667,5.866666666666667,138.03333333333333,77.484,4.1
Q2-2003,1.2467032967032967,6.133333333333333,137.16666666666666,77.562,5.1
Q3-2003,1.0168478260869565,6.133333333333333,138.06666666666666,78.073,9.3
Q4-2003,0.9967391304347828,5.833333333333333,139.23333333333335,78.457,7.3
Q1-2004,1.001868131868132,5.7,142.20000000000002,79.062,5.2
Q2-2004,1.0113186813186814,5.599999999999999,146.26666666666668,79.594,6.5
Q3-2004,1.4307608695652174,5.433333333333334,147.70000000000002,79.985,6.5
Q4-2004,1.949891304347826,5.433333333333334,150.53333333333333,80.669,7.4
Q1-2005,2.4690000000000003,5.3,152.06666666666666,81.138,7.9
Q2-2005,2.9417582417582415,5.1000000000000005,154.53333333333333,81.65,5.0
Q3-2005,3.46,4.966666666666667,158.70000000000002,82.532,7.0
Q4-2005,3.9782608695652177,4.966666666666667,164.29999999999998,83.189,5.6
Q1-2006,4.454111111111112,4.733333333333333,162.76666666666668,83.621,8.5
Q2-2006,4.907582417582417,4.633333333333333,165.4,84.355,4.6
Q3-2006,5.2453260869565215,4.633333333333334,166.70000000000002,84.962,3.4
Q4-2006,5.242934782608696,4.433333333333334,164.13333333333333,84.822,5.0
Q1-2007,5.254555555555556,4.5,166.70000000000002,85.597,5.1
Q2-2007,5.252417582417583,4.5,172.83333333333334,86.324,5.3
Q3-2007,5.074347826086957,4.666666666666667,173.66666666666666,86.812,4.6
Q4-2007,4.495652173913044,4.8,177.4333333333333,87.694,4.2
Q1-2008,3.1814285714285715,5.0,183.86666666666667,88.408,-0.2
Q2-2008,2.0847252747252747,5.333333333333333,196.0,89.269,4.4
Q3-2008,1.9406521739130431,6.0,200.46666666666667,90.221,0.9
Q4-2008,0.5053260869565218,6.866666666666667,178.03333333333333,88.781,-7.6
Q1-2009,0.1844444444444444,8.266666666666667,169.53333333333333,88.181,-4.8
Q2-2009,0.178021978021978,9.3,171.33333333333334,88.532,-1.4
Q3-2009,0.1543478260869565,9.633333333333333,173.86666666666667,89.142,1.9
Q4-2009,0.1183695652173913,9.933333333333334,176.9,89.83,5.7
Q1-2010,0.1338888888888889,9.833333333333334,182.0666666666667,90.177,3.1
Q2-2010,0.1919780219780219,9.633333333333333,184.23333333333335,90.317,6.0
Q3-2010,0.1888043478260869,9.466666666666669,184.63333333333333,90.49,4.4
Q4-2010,0.1895652173913043,9.5,188.0,91.07,4.5
Q1-2011,0.1545555555555555,9.033333333333331,195.9,91.835,1.1
Q2-2011,0.0946153846153846,9.066666666666666,203.7,92.738,5.5
